wall,cpu,seed,pinned,pumps,paused,state,phase,path,computing,waypoints,clearanceProbes,moving,speed,x,y,z,targetId,targetDist,stillFor,failure
1789507598.378,8084.139,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,35.999,
1789507598.645,8084.406,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,36.265,
1789507598.912,8084.673,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,36.532,
1789507599.178,8084.940,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,36.799,
1789507599.445,8085.206,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,37.065,
1789507599.711,8085.473,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,37.332,
1789507599.978,8085.739,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,37.599,
1789507600.245,8086.006,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,37.865,
1789507600.512,8086.273,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,38.132,
1789507600.779,8086.540,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,38.399,
1789507601.045,8086.807,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,38.666,
1789507601.313,8087.075,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,38.934,
1789507601.578,8087.340,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,39.199,
1789507601.846,8087.607,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,39.466,
1789507602.111,8087.873,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,39.732,
1789507602.378,8088.139,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,39.998,
1789507602.645,8088.406,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,40.265,
1789507602.911,8088.673,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,40.532,
1789507603.178,8088.939,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,40.798,
1789507603.445,8089.207,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,41.066,
1789507603.711,8089.472,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,41.332,
1789507603.978,8089.740,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,41.599,
1789507604.245,8090.007,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,41.866,
1789507604.512,8090.273,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,42.133,
1789507604.808,8090.572,0.000,nil,2.000,false,IDLE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,0.000,-1.000,0.000,
1789507605.131,8090.893,0.000,nil,2.000,false,IDLE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,0.000,-1.000,0.000,
1789507605.468,8091.230,0.000,nil,2.000,false,IDLE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,0.000,-1.000,0.000,
1789507605.766,8091.528,0.000,nil,2.000,false,IDLE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,0.000,-1.000,0.000,
